시도명,학교명,급식날짜,메뉴이름,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),,,,,,,
부산광역시,명호고등학교,2022-02-03,돈삼겹숙주덮밥,500,699.96,92.09,5.99,21.40,29.31,45.77,328.37,1182.88,764.50,30.22,4.25,8.77,72.00,,,,,,,
부산광역시,명호고등학교,2022-02-04,찹쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-02-07,찹쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-02-08,돼지국밥,1200,811.44,78.28,3.30,36.45,56.76,65.73,280.74,1257.67,497.83,57.14,42.95,43.67,734.50,,,,,,,
부산광역시,명호고등학교,2022-02-08,돼지국밥,1200,811.44,78.28,3.30,36.45,56.76,65.73,280.74,1257.67,497.83,57.14,42.95,43.67,734.50,,,,,,,
부산광역시,명호고등학교,2022-02-09,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-02-09,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-02-10,혼합잡곡밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-02,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-03-02,자장면,650,760.88,134.29,7.99,23.16,15.74,166.70,302.56,2447.00,1013.84,37.46,5.33,1.41,3.08,,,,,,,
부산광역시,명호고등학교,2022-03-03,흑미밥,200,318.00,70.29,0.00,0.39,5.44,6.30,98.60,4.50,112.90,0.00,1.29,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-03,흑미밥,200,318.00,70.29,0.00,0.39,5.44,6.30,98.60,4.50,112.90,0.00,1.29,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-04,찹쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-07,팥찰밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-08,김가루주먹밥,150,209.56,36.18,0.00,3.46,6.70,85.43,151.23,329.69,179.33,0.00,0.70,0.80,50.13,,,,,,,
부산광역시,명호고등학교,2022-03-10,혼합잡곡밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-11,치킨마요덮밥,500,699.96,92.09,5.99,21.40,29.31,45.77,328.37,1182.88,764.50,30.22,4.25,8.77,72.00,,,,,,,
부산광역시,명호고등학교,2022-03-14,차조밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-21,차조밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-22,백미밥,210,334.80,73.71,0.00,0.45,5.76,3.60,126.00,59.40,146.70,0.00,0.36,1.35,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-23,중화비빔밥,400,683.62,113.43,5.09,16.84,19.26,119.37,249.11,1155.81,640.97,29.67,4.52,3.57,119.13,,,,,,,
부산광역시,명호고등학교,2022-03-24,단호박카레라이스,500,653.24,92.58,0.00,10.67,13.40,27.90,218.24,1108.55,525.62,70.18,1.98,2.66,13.75,,,,,,,
부산광역시,명호고등학교,2022-03-25,찹쌀밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
부산광역시,명호고등학교,2022-03-28,수수밥,200,302.36,65.52,0.00,0.75,6.71,12.06,117.84,3.39,166.72,6.90,1.74,1.83,0.00,,,,,,,
