학교명,학교종류명,시도명
가락고등학교,고등학교,서울특별시
가락중학교,중학교,서울특별시
가산중학교,중학교,서울특별시
가원중학교,중학교,서울특별시
가재울고등학교,고등학교,서울특별시
가재울중학교,중학교,서울특별시
강남중학교,중학교,서울특별시
강동고등학교,고등학교,서울특별시
강동중학교,중학교,서울특별시
강명중학교,중학교,서울특별시
강북중학교,중학교,서울특별시
강빛중학교,중학교,서울특별시
강서고등학교,고등학교,서울특별시
강신중학교,중학교,서울특별시
강일고등학교,고등학교,서울특별시
강일중학교,중학교,서울특별시
강현중학교,중학교,서울특별시
개봉중학교,중학교,서울특별시
개운중학교,중학교,서울특별시
개웅중학교,중학교,서울특별시
개원중학교,중학교,서울특별시
개포고등학교,고등학교,서울특별시
개포중학교,중학교,서울특별시
거원중학교,중학교,서울특별시
건국대학교사범대학부속고등학교,고등학교,서울특별시
건국대학교사범대학부속중학교,중학교,서울특별시
경기고등학교,고등학교,서울특별시
경기기계공업고등학교,고등학교,서울특별시
경기상업고등학교,고등학교,서울특별시
경기여자고등학교,고등학교,서울특별시
경기초등학교,초등학교,서울특별시
경동고등학교,고등학교,서울특별시
경문고등학교,고등학교,서울특별시
경복고등학교,고등학교,서울특별시
경복비즈니스고등학교,고등학교,서울특별시
경복여자고등학교,고등학교,서울특별시
경복초등학교,초등학교,서울특별시
경서중학교,중학교,서울특별시
경성고등학교,고등학교,서울특별시
경성중학교,중학교,서울특별시
경수중학교,중학교,서울특별시
경신고등학교,고등학교,서울특별시
경신중학교,중학교,서울특별시
경원중학교,중학교,서울특별시
경인고등학교,고등학교,서울특별시
경인중학교,중학교,서울특별시
경일고등학교,고등학교,서울특별시
경일중학교,중학교,서울특별시
경희고등학교,고등학교,서울특별시
경희여자고등학교,고등학교,서울특별시
경희여자중학교,중학교,서울특별시
경희중학교,중학교,서울특별시
경희초등학교,초등학교,서울특별시
계성고등학교,고등학교,서울특별시
계성초등학교,초등학교,서울특별시
고덕중학교,중학교,서울특별시
고려대학교사범대학부속고등학교,고등학교,서울특별시
고려대학교사범대학부속중학교,중학교,서울특별시
고명외식고등학교,고등학교,서울특별시
고명중학교,중학교,서울특별시
고척고등학교,고등학교,서울특별시
고척중학교,중학교,서울특별시
공릉중학교,중학교,서울특별시
공항고등학교,고등학교,서울특별시
공항중학교,중학교,서울특별시
관악고등학교,고등학교,서울특별시
관악중학교,중학교,서울특별시
광남고등학교,고등학교,서울특별시
광남중학교,중학교,서울특별시
광문고등학교,고등학교,서울특별시
광성고등학교,고등학교,서울특별시
광성중학교,중학교,서울특별시
광성하늘빛학교,특수학교,서울특별시
광신고등학교,고등학교,서울특별시
광신방송예술고등학교,고등학교,서울특별시
광신중학교,중학교,서울특별시
광양고등학교,고등학교,서울특별시
광양중학교,중학교,서울특별시
광영고등학교,고등학교,서울특별시
광영여자고등학교,고등학교,서울특별시
광운인공지능고등학교,고등학교,서울특별시
광운중학교,중학교,서울특별시
광운초등학교,초등학교,서울특별시
광장중학교,중학교,서울특별시
광진중학교,중학교,서울특별시
광희중학교,중학교,서울특별시
교남학교,특수학교,서울특별시
구로고등학교,고등학교,서울특별시
구로중학교,중학교,서울특별시
구룡중학교,중학교,서울특별시
구산중학교,중학교,서울특별시
구암고등학교,고등학교,서울특별시
구암중학교,중학교,서울특별시
구의중학교,중학교,서울특별시
구일고등학교,고등학교,서울특별시
구일중학교,중학교,서울특별시
구현고등학교,고등학교,서울특별시
국립국악고등학교,고등학교,서울특별시
국립전통예술고등학교,고등학교,서울특별시
국사봉중학교,중학교,서울특별시
금성초등학교,초등학교,서울특별시
금옥여자고등학교,고등학교,서울특별시
금옥중학교,중학교,서울특별시
금천고등학교,고등학교,서울특별시
금호고등학교,고등학교,서울특별시
금호여자중학교,중학교,서울특별시
길음중학교,중학교,서울특별시
난곡중학교,중학교,서울특별시
난우중학교,중학교,서울특별시
남강고등학교,고등학교,서울특별시
남강중학교,중학교,서울특별시
남대문중학교,중학교,서울특별시
남서울중학교,중학교,서울특별시
남성중학교,중학교,서울특별시
내곡중학교,중학교,서울특별시
노곡중학교,중학교,서울특별시
노원고등학교,고등학교,서울특별시
노원중학교,중학교,서울특별시
노일중학교,중학교,서울특별시
녹천중학교,중학교,서울특별시
누리학교,특수학교,서울특별시
누원고등학교,고등학교,서울특별시
다니엘학교,특수학교,서울특별시
단국대학교부속소프트웨어고등학교,고등학교,서울특별시
단국대학교사범대학부속고등학교,고등학교,서울특별시
단국대학교사범대학부속중학교,중학교,서울특별시
당곡고등학교,고등학교,서울특별시
당곡중학교,중학교,서울특별시
당산서중학교,중학교,서울특별시
당산중학교,중학교,서울특별시
대경생활과학고등학교,고등학교,서울특별시
대경중학교,중학교,서울특별시
대광고등학교,고등학교,서울특별시
대광중학교,중학교,서울특별시
대광초등학교,초등학교,서울특별시
대동세무고등학교,고등학교,서울특별시
대림중학교,중학교,서울특별시
대명중학교,중학교,서울특별시
대방중학교,중학교,서울특별시
대성고등학교,고등학교,서울특별시
대성중학교,중학교,서울특별시
대신고등학교,고등학교,서울특별시
대신중학교,중학교,서울특별시
대영고등학교,고등학교,서울특별시
대영중학교,중학교,서울특별시
대왕중학교,중학교,서울특별시
대원고등학교,고등학교,서울특별시
대원국제중학교,중학교,서울특별시
대원여자고등학교,고등학교,서울특별시
대원외국어고등학교,고등학교,서울특별시
대일고등학교,고등학교,서울특별시
대일관광고등학교,고등학교,서울특별시
대일외국어고등학교,고등학교,서울특별시
대진고등학교,고등학교,서울특별시
대진디자인고등학교,고등학교,서울특별시
대진여자고등학교,고등학교,서울특별시
대청중학교,중학교,서울특별시
대치중학교,중학교,서울특별시
덕산중학교,중학교,서울특별시
덕성여자고등학교,고등학교,서울특별시
덕성여자중학교,중학교,서울특별시
덕수고등학교,고등학교,서울특별시
덕수중학교,중학교,서울특별시
덕원여자고등학교,고등학교,서울특별시
덕원예술고등학교,고등학교,서울특별시
덕원중학교,중학교,서울특별시
덕일전자공업고등학교,고등학교,서울특별시
도곡중학교,중학교,서울특별시
